Payee Name,Invoice Date,Invoice #,Vendor ID,Invoice Amount,Account Code ,Dates of service ,Mail Date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Amount Paid, Pymt Received
University 105,4/20/20,NB042020,,"$1,600.00 ",4700-00000,1 yr Subscription 4/30/2020 to 4/30/2021,4/20/20,,,,"$1,600.00 ",4/18/20
University 44,4/21/20,NB042120,,"$16,000.00 ",4700-00000,1 yr Subscription 6/12/2020 to 6/12/2021,4/21/20,,,,"$1,600.00 ",5/28/20
University 198,4/21/20,NB042120A,,"$5,250.00 ",4700-00000,1 yr Subscription 4/30/2020 to 4/30/2021,4/21/20,,,,"$5,250.00 ",5/28/20
University 199,4/22/20,NB042220,,$527.00 ,4700-00000,3 Mo Subscription 4/17/2020 to 7/17/2020,4/22/20,,,,$511.42 ,5/1/20
University 202,4/23/20,NB042320,,"$1,000.00 ",4700-00000,3 Mo Subscription 4/22/2020 to 7/22/2020,4/23/20,,,,"$1,000.00 ",8/3/20
University 22,4/23/20,NB042320A,,$500.00 ,4700-00000,3 Mo Subscription 4/21/2020 to 7/21/2020,4/23/20,,,,$500.00 ,5/28/20
University 39,4/23/20,NB042320B,,"$2,000.00 ",4700-00000,1 yr Subscription 1/21/2020 to 1/31/2021 (2 Years),4/23/20,7/9/20,8/3/20,,"$2,000.00 ",8/17/20
University 200,4/23/20,NB042320C,,$625.00 ,4700-00000,3 Mo Subscription 4/22/2020 to 7/22/2020,4/23/20,,,,$625.00 ,5/28/20
University 203,4/27/20,NB042720,,"$2,500.00 ",4700-00000,1 yr Subscription 4/23/2020 to 4/30/2021,4/27/20,,,,"$2,500.00 ",5/15/20
University 158,4/27/20,NB042720A,,"$2,700.00 ",4700-00000,1 yr Subscription 6/1/2020 to 5/31/2021,4/27/20,,,,"$2,700.00 ",5/28/20
University 204,4/29/20,NB042920,,"$21,500.00 ",4700-00000,1 yr Subscription 5/5/2020 to 5/5/2021,4/29/20,,,,"$21,500.00 ",5/29/20
University 110,4/30/20,NB043020,,"$1,000.00 ",4700-00000,1 yr Subscription 6/30/2020 to 6/30/2021,4/30/20,,,,"$1,000.00 ",5/28/20
University 124,5/1/20,NB050120,,$476.00 ,4700-00000,1 yr Subscription 11/1/2019 to 10/31/2020,5/1/20,,,,$476.00 ,4/18/20
University 189,5/1/20,NB050120A,,"$2,059.00 ",4700-00000,1 yr Subscription 4/8/2020 to 3/31/2021,5/1/20,,,,"$1,998.99 ",7/9/20
University 205,5/1/20,NB050120B,,"$2,500.00 ",4700-00000,1 yr Subscription 5/4/2020 to 4/30/2021,5/1/20,,,,"$2,500.00 ",5/28/20
University 193,5/6/20,NB050620,,$500.00 ,4700-00000,3 Mo Subscription 4/8/2020 to 6/30/2020,5/6/20,,,,$500.00 ,7/27/20
University 206,5/6/20,NB050620A,,"$10,500.00 ",4700-00000,3 yr Subscription 4/20/2020 to 04/30/2023,5/6/20,,,,"$10,500.00 ",5/28/20
University 11,6/7/20,NB050720,,"$2,882.00 ",4700-00000,,6/16/20,,,,"$2,798.12 ",6/16/20
University 40,5/11/20,NB051120,,"$6,000.00 ",4700-00000,3 yr Subscription 8/31/2020 to 08/31/2023,5/11/20,7/9/20,8/3/20,,"$6,000.00 ",8/19/20
University 24,5/12/20,NB051220,,"$1,000.00 ",4700-00000,1 yr Subscription 5/15/2020 to 05/31/2021,5/12/20,,,,"$1,000.00 ",7/17/20
University 209,5/13/20,NB051320,,"$1,900.00 ",4700-00000,1 yr Subscription 5/18/2020 to 05/31/2021,5/13/20,7/9/20,8/3/20,,"$1,900.00 ",8/26/20
University 208,5/13/20,NB051320A,,"$3,000.00 ",4700-00000,1 yr Subscription 5/4/2020 to 04/30/2021,5/13/20,,,,"$3,000.00 ",6/26/20
University 142,5/18/20,NB051820,,"$2,000.00 ",4700-00000,1 yr Subscription 5/20/2020 to 07/31/2021,5/18/20,,,,"$2,000.00 ",5/21/20
University 22,5/19/20,NB051920,,$750.00 ,4700-00000,1 yr Subscription 6/30/2020 to 06/30/2021,5/19/20,,,,$750.00 ,7/27/20
University 41,5/21/20,NB052120,,"$2,500.00 ",4700-00000,1 yr Subscription 6/1/2020 to 05/31/2021,5/21/20,,,,"$2,500.00 ",7/16/20
University 2,5/22/20,NB052220,,"$1,000.00 ",4700-00000,1 yr Subscription 6/30/2020 to 06/30/2021,5/22/20,,,,"$1,000.00 ",6/22/20
University 68,5/29/20,NB052920,,"$2,000.00 ",4700-00000,1 yr Subscription 7/31/2020 to 07/31/2021,5/29/20,,,,"$2,000.00 ",6/22/20
University 11,6/1/20,NB060120,,"$4,800.00 ",4700-00000,3 yr Subscription 6/1/2020 to 05/31/2023,6/1/20,,,,"$4,800.00 ",7/16/20
University 140,6/1/20,NB060120A,,"$1,800.00 ",4700-00000,1 yr Subscription 6/30/2020 to 06/30/2021,6/1/20,,,,"$1,800.00 ",7/20/20
University 84,6/2/20,NB060220,,"$2,250.00 ",4700-00000,3 Mo Subscription 7/1/2020 to 09/30/2020,6/2/20,,,,"$2,250.00 ",6/22/20
University 180,6/2/20,NB060220A,,$875.00 ,4700-00000,3 Mo Subscription 7/1/2020 to 09/30/2020,6/2/20,,,,$875.00 ,6/22/20
University 85,6/2/20,NB060220B,,$375.00 ,4700-00000,3 Mo Subscription 9/15/2020 to 12/15/2020,6/2/20,,,,$375.00 ,7/7/20
University 75,6/3/20,NB060320,,"$7,500.00 ",4700-00000,1 yr Subscription 7/31/2020 to 07/31/2021,6/3/20,,,,"$7,500.00 ",6/26/20
University 34,6/4/20,NB060420,,"$4,500.00 ",4700-00000,1 yr Subscription 7/31/2020 to 07/31/2021,6/4/20,,,,"$4,500.00 ",7/7/20
University 66,6/4/20,NB060420A,,"$7,500.00 ",4700-00000,3 yr Subscription 5/31/2020 to 05/32/2023,6/4/20,,,,"$7,500.00 ",6/26/20
University 210,6/8/20,NB060820,,"$1,158.00 ",4700-00000,3 Mo Subscription 7/1/2020 to 09/30/2020,6/10/20,,,,"$1,124.12 ",6/10/20
University 155,6/11/20,NB061120,,"$12,500.00 ",4700-00000,1 yr Subscription 7/1/2020 to 06/30/2021,6/11/20,7/9/20,8/3/20,,"$12,500.00 ",9/15/20
University 155,6/11/20,NB061120A,,"$3,344.25 ",4700-00000,1 yr Subscription 7/1/2020 to 06/30/2021,6/11/20,7/9/20,8/3/20,,"$3,246.97 ",8/13/20
University 211,6/11/20,NB061120B,,"$5,252.00 ",4700-00000,3 yr Subscription 7/1/2020 to 06/30/2023,6/11/20,,,,"$5,252.00 ",7/13/20
University 212,6/12/20,NB061220,,"$2,000.00 ",4700-00000,1 yr Subscription 6/15/2020 to 06/30/2021,6/12/20,,,,"$2,000.00 ",7/27/20
University 213,6/15/20,NB061520,,"$1,800.00 ",4700-00000,1 yr Subscription 7/31/2020 to 07/31/2021,6/15/20,8/3/20,,,"$1,800.00 ",8/19/20
University 214,6/16/20,NB061620,,"$3,000.00 ",4700-00000,1 yr Subscription 6/16/2020 to 06/30/2021,6/16/20,,,,"$3,000.00 ",7/2/20
University 217,6/16/20,NB061620A,,"$5,500.00 ",4700-00000,3 yr Subscription 11/2/2020 to 11/30/2023,6/16/20,,,,"$5,500.00 ",7/3/20
University 216,6/16/20,NB061620B,,$625.00 ,4700-00000,3 Mo Subscription 8/17/2020 to 11/17/2020,6/16/20,8/3/20,,9/9/20,$624.54 ,9/17/20
University 106,6/16/20,NB061620C,,"$4,500.00 ",4700-00000,1 yr Subscription 5/31/2020 to 05/31/2021,6/16/20,,,,"$4,500.00 ",7/7/20
University 215,6/16/20,NB061620D,,"$1,000.00 ",4700-00000,1 yr Subscription 7/1/2020 to 06/30/2021,6/16/20,,,,"$1,000.00 ",7/7/20
University 121,6/17/20,NB061720,,$500.00 ,4700-00000,1 yr Subscription 12/31/2019 to 12/31/2020,6/17/20,,,,$500.00 ,7/16/20
University 218,6/18/20,NB061820,,$160.00 ,4700-00000,3 Mo Subscription 6/18/2020 to 9/18/2020,6/18/20,,,,$160.00 ,7/7/20
University 219,6/22/20,NB062220,,"$1,029.00 ",4700-00000,1 yr Subscription 6/22/2020 to 6/30/2021,6/22/20,,,,$998.86 ,6/23/20
University 220,6/22/20,NB062220A,,"$4,500.00 ",4700-00000,1 yr Subscription 7/1/2020 to 6/30/2021,6/22/20,8/3/20,,,"$4,500.00 ",8/19/20
University 221,6/23/20,NB062320,,"$3,500.00 ",4700-00000,1 yr Subscription 7/1/2020 to 6/30/2021,6/23/20,,,,"$3,500.00 ",7/23/20
University 222,6/24/20,NB062420,,"$3,000.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,6/24/20,,,,"$3,000.00 ",7/27/20
University 223,6/25/20,NB062520,,$540.33 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/1/2020,6/25/20,8/3/20,,,$524.36 ,8/11/20
University 225,6/25/20,NB062520A,,"$2,500.00 ",4700-00000,1 yr Subscription 8/15/2020 to 8/31/2021,6/25/20,8/3/20,,,"$2,500.00 ",8/19/20
University 224,6/25/20,NB062520B,,"$6,500.00 ",4700-00000,1 yr Subscription 8/4/2020 to 7/31/2021,6/25/20,8/3/20,,9/28/20,"$6,500.00 ",10/2/20
University 160,6/26/20,NB062620,,"$2,500.00 ",4700-00000,3 Mo Subscription 7/1/2020 to 12/31/2020,6/26/20,8/3/20,,,"$2,500.00 ",8/11/20
University 189,6/26/20,NB062620A,,"$2,058.80 ",4700-00000,1 yr Subscription 4/8/2020 to 3/31/2021,6/26/20,7/9/20,8/3/20,,"$1,998.79 ",8/24/20
University 154,6/29/20,NB062920,,"$1,600.00 ",4700-00000,1 yr Subscription 7/1/2020 to 6/30/2021,6/29/20,8/3/20,,,"$1,600.00 ",8/11/20
University 173,6/29/20,NB062920A,,"$2,500.00 ",4700-00000,6 Mo Subscription 7/1/2020 to 12/31/2020,6/29/20,,,,"$2,500.00 ",6/29/20
University 69,6/30/20,NB063020,,"$4,500.00 ",4700-00000,1 yr Subscription 6/30/2020 to 6/30/2021,6/30/20,8/3/20,,9/9/20,"$4,500.00 ",9/11/20
University 172,7/1/20,NB070120,,"$1,000.00 ",4700-00000,6 Mo Subscription 7/1/2020 to 12/31/2020,7/1/20,8/3/20,,,"$1,000.00 ",8/5/20
University 185,7/2/20,NB070220,,"$2,750.00 ",4700-00000,6 Mo Subscription 7/1/2020 to 12/31/2020,7/2/20,,,,"$2,750.00 ",7/27/20
University 226,7/8/20,NB070820,,"$2,650.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,7/8/20,,,,"$2,650.00 ",7/13/20
University 190,7/8/20,NB070820A,,"$1,700.00 ",4700-00000,6 Mo Subscription 7/1/2020 to 12/31/2020,7/8/20,8/17/20,9/25/20,10/26/20,"$1,700.00 ",10/28/20
University 3,7/8/20,NB070820B,,"$3,500.00 ",4700-00000,1 yr Subscription 7/7/2020 to 6/30/2021,7/8/20,,,,"$3,500.00 ",7/27/20
University 227,7/8/20,NB070820C,,$525.00 ,4700-00000,3 Mo Subscription 8/24/2020 to 11/30/2020,7/8/20,8/7/20,,,$524.36 ,8/7/20
University 201,7/9/20,NB070920,,"$1,000.00 ",4700-00000,6 Mo Subscription 7/21/2020 to 12/31/2020,7/9/20,8/17/20,,,"$1,000.00 ",8/31/20
University 228,7/10/20,NB071020,,"$2,250.00 ",4700-00000,1 yr Subscription 7/10/2020 to 6/30/2021,7/10/20,8/17/20,,9/28/20,"$2,250.00 ",10/5/20
University 181,7/14/20,NB071420,,"$2,500.00 ",4700-00000,1 yr Subscription 7/13/2020 to 6/30/2021,7/15/20,,,,"$2,500.00 ",7/28/20
University 229,7/14/20,NB071420A,,"$1,850.00 ",4700-00000,1 yr Subscription 7/15/2020 to 7/14/2021,7/15/20,8/17/20,,,"$1,850.00 ",9/2/20
University 230,7/15/20,NB071520,,"$1,920.00 ",4700-00000,1 yr Subscription 7/15/2020 to 7/31/2021,7/15/20,8/17/20,,,"$1,920.00 ",8/24/20
University 19,7/15/20,NB071520A,,"$3,000.00 ",4700-00000,1 yr Subscription 4/30/2020 to 4/30/2021,7/15/20,8/17/20,,9/28/20,"$3,000.00 ",10/2/20
University 231,7/15/20,NB071520B,,"$2,500.00 ",4700-00000,1 yr Subscription 7/1/2020 to 6/30/2021,7/15/20,,,,"$2,500.00 ",7/24/20
University 106,7/16/20,NB071620,,"$2,000.00 ",4700-00000,1 yr Subscription 5/31/2020 to 5/31/2021,7/16/20,8/17/20,,9/28/20,"$2,000.00 ",10/2/20
University 188,7/16/20,NB071620A,,"$2,200.00 ",4700-00000,1 yr Subscription 8/17/2020 to 8/31/2021,7/16/20,,,,"$2,200.00 ",7/27/20
University 132,7/16/20,NB071620B,,"$2,000.00 ",4700-00000,1 yr Subscription 7/15/2020 to 7/31/2021,7/16/20,,,,"$2,000.00 ",7/27/20
University 233,7/17/20,NB071720,,"$1,650.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,7/17/20,,,,"$1,650.00 ",7/17/20
