Customers,Number of Users,Invoice Date,Invoice #,Invoice Amount,Subscription,Account Code ,Dates of service ,Address,Lat,Long
University 2,250.0,1/12/2016,AJ511,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription01/06/16 to 06/30/17,"129 Taylor Education Bldg, Lexington, KY 40506",37.986014000000004,-84.396001
University 12,,2/1/2016,AJ512,$750.00,1 Year,4700-0-00-00000-00-0000,"1 Year Subscription 01/19/16 to January 31,2017","315 Shorter Ave, Rome, GA 30165",34.263421,-85.189688
University 12,,2/1/2016,AJ512,$750.00,1 Year,4700-0-00-00000-00-0000,"1 Year Subscription 01/19/16 to January 31,2017","315 Shorter Ave, Rome, GA 30165",34.263421,-85.189688
University 13,100.0,2/23/2016,AJ513,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 02/15/16-06/30/2017,"701 Oakland Ave, Rock Hill, SC 29730",34.938466,-81.029872
University 2,250.0,3/15/2016,AJ514,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 06/30/16 to 06/30/17,"1 Kellogg Cir, Emporia, KS 66801",38.392609,-96.18139599999999
University 3,,5/10/2016,AJ516,"$1,000.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/6/16 to 4/30/17,"3261 W State St, St Bonaventure, NY 14778",42.08068,-78.48354300000001
University 4,100.0,5/11/2016,AJ521,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/11/16 to 6/30/2017,"7207 Young Street, Machipongo, VA 23405",37.403801,-75.910387
University 19,,5/11/2016,AJ517,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/03/16 to 5/2/17,"1120 15th St, Augusta, GA 30912",33.470787,-81.98959
University 5,500.0,5/11/2016,AJ518,"$6,600.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 8/1/16 to 7/31/2019,"250 University Ave, California, PA 15419",40.065615,-79.885932
University 6,,5/11/2016,AJ520,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 4/25/16 to 10/31/17,"41870 McAlby Ct. Murrieta, CA 92562-7021",33.529999,-117.18559099999999
University 5,500.0,5/11/2016,AJ518(2),"$2,850.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 8/1/16 to 7/31/2019,"250 University Ave, California, PA 15419",40.065615,-79.885932
University 2,200.0,5/11/2016,AJ522,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/10/16 to 6/30/2017,"129 Taylor Education Bldg, Lexington, KY 40506",37.986014000000004,-84.396001
University 23,,5/11/2016,AJ519,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/01/16 to 9/30/2017,"6201 Winnetka Ave, Woodland Hills, CA 91371",34.183904999999996,-118.57507700000001
University 24,,5/19/2016,AJ523,"$9,450.00",3 Years,4700-0-00-00000-00-0000,3 Year Subscription 5/13/16 to 5/31/19,"501 Crescent St, New Haven, CT 06515",41.331619,-72.946852
University 25,,5/24/2016,AJ524,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/23/16 to 5/31/17,"201 Mullica Hill Rd, Glassboro, NJ 08028",39.709696,-75.120704
University 26,250.0,5/26/2016,AJ526,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/1/16 to 7/30/17,"2020 Illinois State University, Normal, IL USA",41.5028,-87.68429300000001
University 27,,6/1/2016,AJ527,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/1/16 to 5/31/17,"2000 Baltimore Ave Ste 300, Kansas City, MO 64108",39.088975,-94.58516
University 7,,6/8/2016,AJ529,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 12/31/2016 to 12/31/2017,"47645 College Dr, St Marys City, MD 20686",38.188827,-76.42549
University 28,250.0,6/10/2016,AJ530,"$2,450.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/6/16 to 5/31/17,"11935 Abercorn St, Savannah, GA 31419",31.978808,-81.16297800000001
University 8,,6/10/2016,AJ531,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/1/16 to 5/31/17,"4001 W McNichols Rd, Detroit, MI 48221",42.414840000000005,-83.137876
University 28,250.0,6/10/2016,AJ530 (2),"$2,450.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/6/17 to 5/31/18,"11935 Abercorn St, Savannah, GA 31419",31.978808,-81.16297800000001
University 28,250.0,6/10/2016,AJ530 (3),"$2,450.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/6/18 to 5/31/19,"11935 Abercorn St, Savannah, GA 31419",31.978808,-81.16297800000001
University 9,,6/13/2016,AJ532,"$50,000.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 05/01/2016 to 12/17/17,"901 13th St S, Birmingham, AL 35294",33.498228999999995,-86.8073
University 31,1000.0,6/15/2016,AJ533,"$13,650.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/3/16 to 5/31/19,"1210 21st Avenue, Tuscaloosa, AL 35401",33.203634,-87.56214399999999
University 33,250.0,6/20/2016,AJ534,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/14/16 to 5/31/17,"6178 College Station Drive, Williamsburg, KY 40769",36.737027000000005,-84.162826
University 32,100.0,6/20/2016,AJ535,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/20/16 to 6/30/17,"315 E College Ave, Greenville, IL 62246",38.892942,-89.410143
University 28,100.0,6/30/2016,AJ536,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/22/16 to 6/30/17,"New York, NY 10003",40.731274,-73.990999
University 35,100.0,7/25/2016,AJ537,"$1,000.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/31/16 to 7/31/16,"1000 River Rd, Teaneck, NJ 07666",40.897169,-74.02901800000001
University 17,1000.0,7/25/2016,AJ538,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/25/16 to 7/31/17,"1400 Spring Garden St, Greensboro, NC 27412",36.065616,-79.81305
University 37,100.0,8/23/2016,AJ543,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/22/16 to 8/31/17,"501 E High St, Oxford, OH 45056",39.509498,-84.734465
University 10,250.0,8/23/2016,AJ539,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/10/16 to 8/31/17,"200 Kalmus Dr, Costa Mesa, CA 92626",33.673152,-117.880738
University 39,250.0,8/23/2016,AJ540,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/16/16 to 8/31/17,"1021 Central Ave, Demorest, GA 30535",34.566567,-83.54284
University 3,100.0,8/23/2016,AJ541,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/18/16 to 8/31/17,"150 University Blvd, Morehead, KY 40351",38.186526,-83.43560500000001
University 36,250.0,8/23/2016,AJ542,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 11/1/16 to 10/31/17,"50 Gender Road, Newark, DE 19713",39.658390000000004,-75.717762
University 40,250.0,8/25/2016,AJ544,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/23/16 to 8/31/17,"1200 Murchison Rd, Fayetteville, NC 28301",35.072882,-78.893753
University 41,100.0,8/29/2016,AJ545,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/16/16 to 8/31/17,"1000 Chastain Rd NW, Kennesaw, GA 30144",34.033208,-84.581906
University 42,100.0,9/9/2016,AJ546,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/16/16 to 8/31/17,"2233 Deerfield Dr, Fort Mill, SC 29715",35.050377000000005,-80.949466
University 43,100.0,9/9/2016,AJ547,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/7/16 to 9/30/17,"3900 Jog Road, Boca Raton, FL 33434",26.384203999999997,-80.14575
University 44,5000.0,9/15/2016,AJ548,"$50,000.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/13/16 to 6/12/2019,"4001 S 700 E #300, Salt Lake City, UT 84107",40.684882,-111.869961
University 45,250.0,9/29/2016,AJ549,"$8,000.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 11/29/16 to 11/30/17,"444 North Capitol St NW # 207, Washington, DC 20001",38.89583,-77.009828
University 46,100.0,10/6/2016,AJ550,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/1/16 to 9/30/17,"1200 Ala Kapuna St, Honolulu, HI 96819",21.36711,-157.90399399999998
University 47,85.0,10/11/2016,AJ552,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/11/16 to 10/31/17,"425 Grand Ave, Billings, MT 59101",45.78457,-108.52682800000001
University 48,300.0,10/11/2016,AJ551,"$5,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/30/16 to 9/30/17,"1825 SW Broadway, Portland, OR 97201",45.511825,-122.68428600000001
University 8,250.0,10/17/2016,AJ553,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/16 to 10/31/17,"200 Stadium Dr, Williamsburg, VA 23185",37.27174,-76.71426
University 49,100.0,10/31/2016,AJ554,"$7,350.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 9/1/17 to 8/31/20,"850 Insight Park Avenue, University ,MS 38677",34.358185,-89.548378
University 50,75.0,11/18/2016,AJ555,"$4,750.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 9/1/17 to 8/31/20,"75 B. S. Hood Road, Mississippi State, MS 39762",33.453832,-88.794057
University 51,50.0,11/30/2016,000001,"$1,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/27/16 to 9/30/17,"6 Dansford Drive Colonial IU 20 Easton, PA 18045",40.732544,-75.263954
University 11,,11/30/2016,000002,"$7,500.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 11/29/16 to 11/30/17,"5000 Holmes St, Kansas City, MO 64110",39.033781,-94.577827
University 53,50.0,1/6/2017,STAC01,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 01/04/17 to 01/04/18,"125 NY-340, Sparkill, NY 10976",41.027843,-73.92519300000001
University 54,25.0,2/9/2017,000005,"$4,999.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 02/03/17 to 02/03/20,"359 N West St, Jackson, MS 39201",32.302802,-90.183909
University 55,200.0,2/16/2017,000007,"$4,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 2/16/17 to 2/28/18,"3911 AVE I, ROSENBERG, 77471-3901",29.558453999999998,-95.786392
University 56,50.0,2/21/2017,000008,"$1,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 2/16/17 to 2/28/18,"1001 N EMMET ST  Charlottesville, VA 22904-4202 ",38.049883,-78.501288
University 57,,3/20/2017,000011,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 3/17/17 to 3/31/18,"3601 Pacific Avenue, Stockton, CA 95211",37.981066999999996,-121.30895100000001
University 58,50.0,4/5/2017,000014,"$1,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 3/24/17 to 3/31/18,"31 Flinders Street, Adelaide SA 5000",-34.927341,138.602002
University 59,50.0,4/10/2017,000015,"$6,300.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 09/01/17 to 08/31/20,"1003 W Sunflower Rd, Cleveland, MS 38733",33.746860999999996,-90.736779
University 2,250.0,4/13/2017,000020,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/17 to 6/30/18,"1 Kellogg Cir, Emporia, KS 66801",38.392609,-96.18139599999999
University 12,250.0,4/13/2017,000021,"$3,000.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/30/17 to 7/30/18,"364 S Park Street, Walla Walla,WA 99362",46.065081,-118.32958700000002
University 19,100.0,4/18/2017,000022,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/2/17 to 5/2/18,"1120 15th St, Augusta, GA 30912",33.470787,-81.98959
University 61,13.0,4/27/2017,00002,"$2,630.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 4/7/17 to 3/31/18,"511 Cleveland Street Durham, NC 27701-3334",35.997263000000004,-78.897667
University 29,100.0,5/8/2017,000024,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/1/17 to 5/31/17,"4001 W McNichols Rd, Detroit, MI 48221",42.414840000000005,-83.137876
University 62,500.0,5/9/2017,000025,"$15,750.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 5/8/17 to 4/30/17,"9201 University City Blvd, Charlotte, NC 28223",35.306152000000004,-80.734562
University 4,100.0,5/12/2017,000028,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/17 to 6/30/18,"7207 Young Street, Machipongo, VA 23405",37.403801,-75.910387
University 13,250.0,5/12/2017,000027,"$10,500.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 5/1/17 to 5/1/20,"Illinois State University Campus Box 5390. Normal, IL 61790",40.51417,-88.99056
University 63,10.0,5/12/2017,000026,"$2,550.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 5/11/17 to 4/30/20,"294 Campus Drive, Dickinson, ND 58601",46.882197999999995,-102.79986600000001
University 2,200.0,5/17/2017,000030,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/17 to 6/30/18,"129 Taylor Education Bldg, Lexington, KY 40506",37.986014000000004,-84.396001
University 13,100.0,5/22/2017,000032,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/17 to 6/30/18,"701 Oakland Ave, Rock Hill, SC 29730",34.938466,-81.029872
University 65,100.0,5/22/2017,000031,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/17 to 6/30/18,"2000 Baltimore Ave Ste 300, Kansas City, MO 64108",39.088975,-94.58516
University 66,250.0,5/23/2017,000033,"$10,500.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription,"1615 Stanley St, New Britain, CT 06050",41.68339,-72.767385
University 67,75.0,6/7/2017,000035,"$4,500.00",2 Years,4700-0-00-00000-00-0000,2 Years Subscription 6/30/17 to 6/30/19,"4123 Woodland Drive, New Orleans, LA 70131",29.912260999999997,-89.995129
University 68,300.0,6/8/2017,000034,"$9,000.00",2 Years,4700-0-00-00000-00-0000,2 Years Subscription 6/30/17 to 6/30/19,"350 Sam Sibley Road, Natchitoches, LA 71497",31.750140999999996,-93.097768
University 70,50.0,6/14/2017,000037,"$3,000.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/14/17 to 6/30/18,"7145 West Tidwell Rd, Houston TX 77092-2096",29.849649,-95.498476
University 69,300.0,6/14/2017,000038,"$11,500.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/14/17 to 6/30/20,"Box 70684, Johnson City, TN 37614",36.30044,-82.362131
University 14,,6/15/2017,000041,"$50,000.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/14/17 to 6/30/18,"901 13th St S, Birmingham, AL 35294",33.498228999999995,-86.8073
University 3,100.0,6/15/2017,000040,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/31/17 to 8/21/18,"150 University Blvd, Morehead, KY 40351",38.184921,-83.434441
University 72,300.0,6/19/2017,000042,"$4,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 11/30/17 to 11/30/18,"1000 University Center Ln, Lawrenceville, GA 30043",33.980705,-84.00120799999999
University 32,100.0,7/10/2017,000045,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/17 to 6/30/18,"315 E College Ave, Greenville, IL 62246",38.892942,-89.410143
University 74,25.0,7/14/2017,000047,"$1,750.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/17 to 6/30/18,"One University Pl, Shreveport, LA 71115",32.432158,-93.70181600000001
University 73,30.0,7/14/2017,000046,"$5,880.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 7/1/17 to 7/31/20,"9333 Loch Lomond Drive, Pico Rivera CA 90660",33.994748,-118.08086000000002
University 75,500.0,7/25/2017,000051,"$7,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/25/17 to 7/31/18,"261 Bluemont Hall, Manhattan, KS 66506",39.189982,-96.57884200000001
University 76,50.0,8/7/2017,000053,"$6,300.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 8/4/17 to 7/31/20,"2200 Havasupai Blvd, Lake Havasu City, AZ 86403",34.497007,-114.33106299999999
University 77,350.0,8/10/2017,000054,"$12,600.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 8/15/17 to 8/15/20,"Box 14,1301 E. Main Street, Murfreesboro, TN 37129",35.847744,-86.363676
University 78,50.0,8/21/2017,000056,"$6,300.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 8/21/17 to 8/31/20,"P.O. Box 1670, Laramie, KY 82073",41.27981,-105.59022
University 79,6.0,8/22/2017,000059,"$2,560.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/21/17 to 8/31/18,"225 Cadence Drive, Henderson, NV 89015",36.045904,-114.98038799999999
University 80,20.0,8/23/2017,000058,"$2,700.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/23/17 to 8/31/18,"143 Main St, Buies Creek, NC 27506",35.409133000000004,-78.73821099999999
University 40,100.0,8/25/2017,000061,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/31/17 to 8/31/18,"1200 Murchison Road, Fayetville, NC 28301",35.072882,-78.893753
University 47,85.0,8/28/2017,000060,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/17 to 10/31/18,"425 Grand Ave, Billings, MT 59101",45.78457,-108.52682800000001
University 9,126.0,9/1/2017,000061,"$3,760.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/31/17 to 8/31/18,"601 S College Rd, Wilmington, NC 28403",34.223991,-77.86776400000001
University 23,,9/6/2017,000062,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/30/2017 to 9/30/18,"6201 Winnetka Ave, Woodland Hills, CA 91371",34.183904999999996,-118.57507700000001
University 48,200.0,9/6/2017,000065,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/30/2017 to 9/30/18,"1825 SW Broadway, Portland, OR 97201",34.223991,-77.86776400000001
University 82,20.0,9/7/2017,000064,"$1,700.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/30/2017 to 9/30/18,"118 College Dr, Hattiesburg, MS 39406",31.327810999999997,-89.332063
University 83,,9/12/2017,000067,"$7,560.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 6/30/17 to 6/30/20,"300 Sower Blvd, Frankfort, KY 40601",38.187538,-84.84676400000001
University 21,100.0,9/27/2017,000069,"$2,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/17 to 10/31/18,"41870 Mcalby Ct, Murrieta, CA 92562",33.52991,-117.18548
University 84,25.0,9/27/2017,000068,"$1,750.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/30/17 to 9/30/18,LA,32.539066999999996,-92.07190200000001
University 8,20.0,9/29/2017,000071,"$1,700.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/31/17 to 10/31/18,KY,37.668420000000005,-83.53629699999999
University 86,1000.0,10/11/2017,000073,"$12,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/1/2017 to 8/31/18,AZ,33.703967,-112.35183500000001
University 85,,10/11/2017,000074,"$1,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 9/1/2017 to 8/31/18,,,
University 87,50.0,10/17/2017,000078,"$2,000.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/13/2017 to 9/30/18,LA,29.963254,-90.21074499999999
University 88,1000.0,10/23/2017,000080,"$26,250.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 10/20/17 to 10/31/20,AR,35.691868,-91.598917
University 89,25.0,10/24/2017,000082,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/31/17 to 8/31/18,,,
University 90,,10/31/2017,,"$1,700.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/31/17 to 8/31/18,AR,35.841039,-90.675602
University 91,25.0,11/7/2017,000084,"$2,700.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 7/1/2017 to 6/30/18,,,
University 92,400.0,11/17/2017,000087,"$6,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 12/31/17 to 12/31/18,AR,35.841039,-90.675602
University 15,250.0,11/20/2017,000089,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 11/15/17 to 11/30/18,OR,45.408173,-122.92232299999999
University 51,50.0,11/28/2017,000090,"$1,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 11/30/17 to 11/30/18,FL,28.061999999999998,-82.413225
University 28,300.0,12/4/2017,000091,"$4,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 8/1/17 to 7/31/17,FL,28.061999999999998,-82.413225
University 93,50.0,1/8/2018,000167,"$1,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 1/31/19 to 1/31/20,TN,36.30011,-82.29403
University 93,,1/9/2018,000093,,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 1/9/18 to 1/13/19,TN,36.30011,-82.29403
University 94,25.0,1/17/2018,000095,$250.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 1/9/18 to 1/13/19,TX,32.221688,-98.719352
University 95,25.0,1/17/2018,000096,"$2,750.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 1/17/18 to 1/31/19,OR,45.507856,-122.690794
University 39,,1/25/2018,000097,"$3,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 1/31/18 to 1/31/19,CA,37.680181,-121.921498
University 96,50.0,3/1/2018,000098,"$2,650.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 3/1/1/ to 2/28/19,FL,27.926018,-82.487126
University 97,500.0,3/14/2018,000101,"$7,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 3/1/18 to 2/28/19,,,
University 30,,3/19/2018,000102,"$50,000.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 10/1/17 to 9/30/18,,,
University 19,100.0,3/19/2018,000103,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 5/2/18 to 4/30/19,FL,33.470787,-81.98959
University 98,,3/23/2018,000105,"$5,460.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 3/21/18 to 3/31/21,FL,28.061999999999998,-82.413225
University 16,,3/23/2018,000104,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 1/4/18 to 1/31/19,ND,48.630369,-97.471056
University 56,50.0,3/30/2018,000108,"$1,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 3/14/18 to 2/28/19,VA,37.57557,-77.53823
University 99,300.0,4/6/2018,000111,"$5,500.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 4/5/18 to 3/31/19,,,
University 22,100.0,4/10/2018,000113,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/18 to 6/30/19,OR,45.408173,-122.92232299999999
University 13,,4/10/2018,000112,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/18 to 6/30/19,FL,28.061999999999998,-82.413225
University 100,25.0,4/11/2018,000114,"$5,775.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 7/18/18 to 6/21/19,OR,45.521516,-122.98485600000001
University 26,250.0,4/12/2018,000115,"$1,900.00",1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/18 to 6/30/19,FL,28.061999999999998,-82.413225
University 101,25.0,4/20/2018,000116,$500.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 4/18/18 to 3/31/19,WY,44.119155,-104.133391
University 32,,4/25/2018,000118,$750.00,1 Year,4700-0-00-00000-00-0000,1 Year Subscription 6/30/18 to 6/30/19,NC,35.580444,-77.392609
University 102,,4/25/2018,000119,"$15,750.00",3 Years,4700-0-00-00000-00-0000,3 Years Subscription 8/1/18 to 7/31/21,AR,35.841039,-90.675602
