Payee Name,Invoice Date,Invoice #,Vendor ID,Invoice Amount,Account Code ,Dates of service ,Mail Date,Unnamed: 8,Unnamed: 9,Unnamed: 10,Amount Paid, Pymt Received
Augusta University,3/20/20,NB032020C,,"$1,125.00 ",4700-00000,3 Mo Subscription 3/19/2020 to 6/30/2020,3/20/20,,,,"$1,125.00 ",5/28/20
Piedmont College,3/20/20,NB032020D,,"$1,000.00 ",4700-00000,1 yr Subscription 1/31/2020 to 1/31/2021,3/20/20,,,,"$1,000.00 ",5/5/20
Western Carolina University,3/20/20,NB032020E,,"$7,500.00 ",4700-00000,1 yr Subscription 3/20/2020 to 3/31/2021,3/20/20,,,,"$7,500.00 ",4/3/20
College of Coastal Georgia,3/23/20,NB032320,,$563.00 ,4700-00000,3 Mo Subscription 3/23/2020 to 6/30/2020,3/23/20,,,,$563.00 ,5/5/20
KCTCS,3/23/20,NB032320A,,"$3,922.00 ",4700-00000,3 Mo Subscription 3/20/2020 to 6/30/2020,3/23/20,,,,"$3,922.00 ",4/10/20
East Tennessee State University,3/23/20,NB032320B,,$438.00 ,4700-00000,3 Mo Subscription 3/23/2020 to 6/30/2020,3/23/20,,,,$438.00 ,4/3/20
George Mason University,3/24/20,NB032420,,"$2,125.00 ",4700-00000,3 Mo Subscription 3/23/2020 to 6/30/2020,3/23/20,,,,"$2,125.00 ",4/17/20
Colgate University,3/25/20,NB032520,,"$1,000.00 ",4700-00000,1 yr Subscription 3/19/2020 to 3/31/2021,3/25/20,,,,"$1,000.00 ",4/18/20
University of New Orleans,3/25/20,NB032520A,,$625.00 ,4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,3/25/20,,,,$625.00 ,5/5/20
University of the Arts,3/25/20,NB032520B,,$516.00 ,4700-00000,3 Mo Subscription 3/23/2020 to 6/30/2020,3/25/20,,,,$516.00 ,3/27/20
Governors State University,3/25/20,NB032520C,,$625.00 ,4700-00000,3 Mo Subscription 3/23/2020 to 6/30/2020,3/25/20,,,,$625.00 ,5/5/20
Augustana College,3/25/20,NB032520D,,$587.00 ,4700-00000,3 Mo Subscription 3/24/2020 to 6/30/2020,3/25/20,,,,$587.00 ,4/17/20
Georgia Gwinnett College,3/25/20,NB032520E,,$250.00 ,4700-00000,3 Mo Subscription 3/24/2020 to 6/30/2020,3/25/20,,,,$250.00 ,7/7/20
Kutztown University of Pennsylvania,3/25/20,NB032520F,,"$5,500.00 ",4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,3/25/20,,,,"$5,500.00 ",5/28/20
State University of New York (SUNY),3/25/20,NB032520G,,"$13,920.00 ",4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,3/25/20,,,,"$13,920.00 ",4/14/20
Marietta College,3/26/20,NB032620,,"$4,830.00 ",4700-00000,3 yr Subscription 3/24/2020 to 3/31/2023,3/26/20,,,,"$4,830.00 ",4/17/20
Purdue University,3/26/20,NB032620A,,"$2,500.00 ",4700-00000,1 yr Subscription 3/25/2020 to 3/31/2021,3/26/20,,,,"$2,500.00 ",5/28/20
University of Guam,3/26/20,NB032620B,,$250.00 ,4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,3/26/20,,,,$250.00 ,5/5/20
Tennessee Wesleyan University,3/26/20,NB032620C,,$687.00 ,4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,3/26/20,,,,$687.00 ,7/13/20
Cumberland University,3/26/20,NB032620D,,$625.00 ,4700-00000,3 Mo Subscription 3/26/2020 to 6/30/2020,3/26/20,,,,$625.00 ,4/17/20
Montclair State University,3/27/20,NB032720,,"$1,375.00 ",4700-00000,3 Mo Subscription 3/20/2020 to 6/30/2020,3/27/20,,,,"$1,361.25 ",5/15/20
SUNY College of Oneonta,3/27/20,NB032720A,,$455.00 ,4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,3/27/20,,,,$455.00 ,4/14/20
"University of California, Davis",3/30/20,NB033020,,$807.00 ,4700-00000,3 Mo Subscription 3/27/2020 to 6/30/2020,3/30/20,,,,$807.00 ,3/30/20
University of Hawaii at Manoa,3/30/20,NB033020A,,$425.00 ,4700-00000,3 Mo Subscription 3/30/2020 to 6/30/2020,3/30/20,,,,$425.00 ,5/5/20
East Carolina University,3/30/20,NB033020B,,"$1,625.00 ",4700-00000,3 Mo Subscription 3/30/2020 to 6/30/2020,3/30/20,,,,"$1,625.00 ",4/17/20
Murray State University,3/30/20,NB033020C,,"$1,825.00 ",4700-00000,3 Mo Subscription 3/30/2020 to 6/30/2020,3/30/20,,,,"$1,825.00 ",4/17/20
Marietta College,3/31/20,NB033120,,$100.00 ,4700-00000,3 yr Subscription 3/24/2020 to 3/31/2023,3/31/20,,,,$100.00 ,5/28/20
Millersville University of Pennsylvania,3/31/20,NB033120A,,"$1,666.00 ",4700-00000,5 Mo Subscription 3/27/2020 to 8/31/2020,3/31/20,,,,"$1,666.00 ",4/17/20
"Teachers College, Columbia University",4/1/20,NB040120,,"$1,625.00 ",4700-00000,3 Mo Subscription 3/31/2020 to 6/30/2020,4/1/20,,,,"$1,625.00 ",5/5/20
SUNY College at Brockport,4/1/20,NB040120A,,$750.00 ,4700-00000,3 Mo Subscription 3/27/2020 to 6/30/2020,4/1/20,,,,$750.00 ,
Montclair State University,4/2/20,NB040220,,$265.00 ,4700-00000,3 Mo Subscription 3/20/2020 to 6/30/2020,4/2/20,,,,$265.00 ,5/5/20
University of West Alabama,4/2/20,NB040220A,,$62.50 ,4700-00000,3 Mo Subscription 4/1/2020 to 6/30/2020,4/2/20,,,,$62.50 ,5/5/20
University of Tennessee at Martin,4/2/20,NB040220B,,$132.50 ,4700-00000,3 Mo Subscription 3/24/2020 to 6/30/2020,4/2/20,,,,$132.50 ,4/18/20
Southern Adventist University,4/2/20,NB040220C,,$625.00 ,4700-00000,3 Mo Subscription 4/2/2020 to 6/30/2020,4/2/20,,,,$625.00 ,5/28/20
Manhattanville College,4/2/20,NB040220D,,$875.00 ,4700-00000,3 Mo Subscription 4/2/2020 to 6/30/2020,4/2/20,,,,$875.00 ,4/17/20
Seattle University,4/3/20,NB040320,,$500.00 ,4700-00000,3 Mo Subscription 4/1/2020 to 6/30/2020,4/3/20,,,,$500.00 ,4/18/20
Georgia Southern University,4/6/20,NB040320,,"$3,000.00 ",4700-00000,3 yr Subscription 5/31/2019 to 05/31/2022,4/6/20,,,,"$3,000.00 ",4/18/20
Concordia University Chicago,4/7/20,NB040720,,$875.00 ,4700-00000,3 Mo Subscription 4/6/2020 to 6/30/2020,4/7/20,,,,$875.00 ,5/5/20
Syracuse University,4/7/20,NB040720A,,"$1,375.00 ",4700-00000,3 Mo Subscription 4/1/2020 to 6/30/2020,4/7/20,,,,"$1,375.00 ",4/18/20
Spelman College,4/7/20,NB040720B,,"$1,900.00 ",4700-00000,1 yr Subscription 4/1/2020 to 5/31/2021,4/7/20,,,,"$1,900.00 ",5/5/20
University of Alabama,4/8/20,NB040820,,"$50,000.00 ",4700-00000,1 yr Subscription 10/1/2020 to 9/30/2021,4/8/20,,,,"$50,000.00 ",5/5/20
Swarthmore College,4/8/20,NB040820A,,$130.00 ,4700-00000,3 Mo Subscription 3/17/2020 to 6/30/2020,4/8/20,,,,$130.00 ,5/5/20
University of North Georgia,4/8/20,NB040820B,,"$1,900.00 ",4700-00000,1 yr Subscription 5/31/2020 to 5/31/2021,4/8/20,,,,"$1,900.00 ",4/18/20
University of North Georgia,4/9/20,NB040920,,"$2,100.00 ",4700-00000,1 yr Subscription 4/9/2020 to 3/31/2021,4/9/20,,,,"$2,100.00 ",4/18/20
nan,,,,,,,,,,,,
National Louis University,4/9/20,NB040920B,,$625.00 ,4700-00000,3 Mo Subscription 4/8/2020 to 6/30/2020,4/9/20,,,,$625.00 ,5/5/20
KYDOE-Educator Recruitment and Development,4/9/20,NB040920C,,"$3,810.00 ",4700-00000,3 yr Subscription 4/8/2020 to 03/31/2023,4/9/20,,,,"$3,810.00 ",4/18/20
Chapman University,4/9/20,NB040920D,,$625.00 ,4700-00000,3 Mo Subscription 4/6/2020 to 7/7/2020,4/9/20,,,,$625.00 ,5/28/20
Troy University,4/9/20,NB040920E,,"$5,500.00 ",4700-00000,1 yr Subscription 4/8/2020 to 3/31/2021,4/9/20,7/9/20,8/3/20,9/9/20,"$5,500.00 ",21-Sep
City University of New York,4/15/20,NB041520,,$625.00 ,4700-00000,3 Mo Subscription 4/10/2020 to 7/10/2020,4/15/20,,,,$625.00 ,4/18/20
University of Wisconsin Stevens Point,4/15/20,NB041520A,,$250.00 ,4700-00000,3 Mo Subscription 4/9/2020 to 7/9/2020,4/15/20,,,,$250.00 ,4/28/20
SUNY Erie Community College,4/15/20,NB041520B,,$150.00 ,4700-00000,3 Mo Subscription 3/25/2020 to 6/30/2020,4/15/20,7/9/20,,,$150.00 ,9/21/20
Central Washington University,4/15/20,NB041520C,,$547.43 ,4700-00000,1 yr Subscription 10/1/2019 to 12/31/2020,4/15/20,,,,$531.25 ,4/21/20
University of Richmond,4/15/20,NB041520D,,"$1,700.00 ",4700-00000,1 yr Subscription 3/26/2020 to 3/31/2021,4/15/20,,,,"$1,700.00 ",7/27/20
nan,,NB041520E,,,,,,,,,,
SUNY Plattsburgh,4/15/20,NB041520F,,$450.00 ,4700-00000,3 Mo Subscription 4/13/2020 to 7/13/2020,4/15/20,,,,$450.00 ,6/11/20
University of North Alabama,4/15/20,NB041520G,,$500.00 ,4700-00000,3 Mo Subscription 4/8/2020 to 6/30/2020,4/15/20,,,,$500.00 ,5/5/20
Morehead State University,4/15/20,NB041520H,,$875.00 ,4700-00000,3 Mo Subscription 3/23/2020 to 6/30/2020,4/15/20,,,,$875.00 ,5/5/20
City University of New York,4/15/20,NB041520I,,$225.00 ,4700-00000,3 Mo Subscription 4/10/2020 to 7/10/2020,4/15/20,,,,$225.00 ,5/5/20
Ithaca College,4/17/20,NB041720,,$875.00 ,4700-00000,3 Mo Subscription 4/10/2020 to 7/10/2020,4/17/20,,,,$875.00 ,5/5/20
University of San Francisco,4/17/20,NB041720A,,"$3,500.00 ",4700-00000,1 yr Subscription 4/15/2020 to 4/31/2021,4/17/20,,,,"$3,500.00 ",4/18/20
Union University,4/20/20,NB042020,,"$1,600.00 ",4700-00000,1 yr Subscription 4/30/2020 to 4/30/2021,4/20/20,,,,"$1,600.00 ",4/18/20
Western Governors University,4/21/20,NB042120,,"$16,000.00 ",4700-00000,1 yr Subscription 6/12/2020 to 6/12/2021,4/21/20,,,,"$1,600.00 ",5/28/20
University of North Carolina Charlotte,4/21/20,NB042120A,,"$5,250.00 ",4700-00000,1 yr Subscription 4/30/2020 to 4/30/2021,4/21/20,,,,"$5,250.00 ",5/28/20
Auburn University,4/22/20,NB042220,,$527.00 ,4700-00000,3 Mo Subscription 4/17/2020 to 7/17/2020,4/22/20,,,,$511.42 ,5/1/20
Oregon State University,4/23/20,NB042320,,"$1,000.00 ",4700-00000,3 Mo Subscription 4/22/2020 to 7/22/2020,4/23/20,,,,"$1,000.00 ",8/3/20
Mississippi State University-Meridian,4/23/20,NB042320A,,$500.00 ,4700-00000,3 Mo Subscription 4/21/2020 to 7/21/2020,4/23/20,,,,$500.00 ,5/28/20
Piedmont College,4/23/20,NB042320B,,"$2,000.00 ",4700-00000,1 yr Subscription 1/21/2020 to 1/31/2021 (2 Years),4/23/20,7/9/20,8/3/20,,"$2,000.00 ",8/17/20
College of Mount Saint Vincent,4/23/20,NB042320C,,$625.00 ,4700-00000,3 Mo Subscription 4/22/2020 to 7/22/2020,4/23/20,,,,$625.00 ,5/28/20
University of South Alabama,4/27/20,NB042720,,"$2,500.00 ",4700-00000,1 yr Subscription 4/23/2020 to 4/30/2021,4/27/20,,,,"$2,500.00 ",5/15/20
College of Coastal Georgia,4/27/20,NB042720A,,"$2,700.00 ",4700-00000,1 yr Subscription 6/1/2020 to 5/31/2021,4/27/20,,,,"$2,700.00 ",5/28/20
Texas A&M University,4/29/20,NB042920,,"$21,500.00 ",4700-00000,1 yr Subscription 5/5/2020 to 5/5/2021,4/29/20,,,,"$21,500.00 ",5/29/20
Birmingham-Southern College,4/30/20,NB043020,,"$1,000.00 ",4700-00000,1 yr Subscription 6/30/2020 to 6/30/2021,4/30/20,,,,"$1,000.00 ",5/28/20
Stanford University/SCALE,5/1/20,NB050120,,$476.00 ,4700-00000,1 yr Subscription 11/1/2019 to 10/31/2020,5/1/20,,,,$476.00 ,4/18/20
Troy University,5/1/20,NB050120A,,"$2,059.00 ",4700-00000,1 yr Subscription 4/8/2020 to 3/31/2021,5/1/20,,,,"$1,998.99 ",7/9/20
Bellarmine University,5/1/20,NB050120B,,"$2,500.00 ",4700-00000,1 yr Subscription 5/4/2020 to 4/30/2021,5/1/20,,,,"$2,500.00 ",5/28/20
University of North Alabama,5/6/20,NB050620,,$500.00 ,4700-00000,3 Mo Subscription 4/8/2020 to 6/30/2020,5/6/20,,,,$500.00 ,7/27/20
NC A&T State University,5/6/20,NB050620A,,"$10,500.00 ",4700-00000,3 yr Subscription 4/20/2020 to 04/30/2023,5/6/20,,,,"$10,500.00 ",5/28/20
University of California Davis,6/7/20,NB050720,,"$2,882.00 ",4700-00000,,6/16/20,,,,"$2,798.12 ",6/16/20
Fayetteville State University,5/11/20,NB051120,,"$6,000.00 ",4700-00000,3 yr Subscription 8/31/2020 to 08/31/2023,5/11/20,7/9/20,8/3/20,,"$6,000.00 ",8/19/20
Saint Joseph’s College,5/12/20,NB051220,,"$1,000.00 ",4700-00000,1 yr Subscription 5/15/2020 to 05/31/2021,5/12/20,,,,"$1,000.00 ",7/17/20
William Paterson University,5/13/20,NB051320,,"$1,900.00 ",4700-00000,1 yr Subscription 5/18/2020 to 05/31/2021,5/13/20,7/9/20,8/3/20,,"$1,900.00 ",8/26/20
Louisiana State University Baton Rouge,5/13/20,NB051320A,,"$3,000.00 ",4700-00000,1 yr Subscription 5/4/2020 to 04/30/2021,5/13/20,,,,"$3,000.00 ",6/26/20
Sam Houston State University,5/18/20,NB051820,,"$2,000.00 ",4700-00000,1 yr Subscription 5/20/2020 to 07/31/2021,5/18/20,,,,"$2,000.00 ",5/21/20
Northampton County Public Schools,5/19/20,NB051920,,$750.00 ,4700-00000,1 yr Subscription 6/30/2020 to 06/30/2021,5/19/20,,,,$750.00 ,7/27/20
Kennesaw State University,5/21/20,NB052120,,"$2,500.00 ",4700-00000,1 yr Subscription 6/1/2020 to 05/31/2021,5/21/20,,,,"$2,500.00 ",7/16/20
Emporia State University,5/22/20,NB052220,,"$1,000.00 ",4700-00000,1 yr Subscription 6/30/2020 to 06/30/2021,5/22/20,,,,"$1,000.00 ",6/22/20
Northwestern State University,5/29/20,NB052920,,"$2,000.00 ",4700-00000,1 yr Subscription 7/31/2020 to 07/31/2021,5/29/20,,,,"$2,000.00 ",6/22/20
University of Kentucky Libraries,6/1/20,NB060120,,"$4,800.00 ",4700-00000,3 yr Subscription 6/1/2020 to 05/31/2023,6/1/20,,,,"$4,800.00 ",7/16/20
John Hopkins University,6/1/20,NB060120A,,"$1,800.00 ",4700-00000,1 yr Subscription 6/30/2020 to 06/30/2021,6/1/20,,,,"$1,800.00 ",7/20/20
University of Louisiana at Monroe,6/2/20,NB060220,,"$2,250.00 ",4700-00000,3 Mo Subscription 7/1/2020 to 09/30/2020,6/2/20,,,,"$2,250.00 ",6/22/20
Manhattanville College,6/2/20,NB060220A,,$875.00 ,4700-00000,3 Mo Subscription 7/1/2020 to 09/30/2020,6/2/20,,,,$875.00 ,6/22/20
University of North Carolina,6/2/20,NB060220B,,$375.00 ,4700-00000,3 Mo Subscription 9/15/2020 to 12/15/2020,6/2/20,,,,$375.00 ,7/7/20
Kansas State University,6/3/20,NB060320,,"$7,500.00 ",4700-00000,1 yr Subscription 7/31/2020 to 07/31/2021,6/3/20,,,,"$7,500.00 ",6/26/20
New York University-Steinhardt,6/4/20,NB060420,,"$4,500.00 ",4700-00000,1 yr Subscription 7/31/2020 to 07/31/2021,6/4/20,,,,"$4,500.00 ",7/7/20
Central Connecticut State University,6/4/20,NB060420A,,"$7,500.00 ",4700-00000,3 yr Subscription 5/31/2020 to 05/32/2023,6/4/20,,,,"$7,500.00 ",6/26/20
Santa Rosa County District Schools,6/8/20,NB060820,,"$1,158.00 ",4700-00000,3 Mo Subscription 7/1/2020 to 09/30/2020,6/10/20,,,,"$1,124.12 ",6/10/20
James Madison University College of Education,6/11/20,NB061120,,"$12,500.00 ",4700-00000,1 yr Subscription 7/1/2020 to 06/30/2021,6/11/20,7/9/20,8/3/20,,"$12,500.00 ",9/15/20
James Madison University College of Education,6/11/20,NB061120A,,"$3,344.25 ",4700-00000,1 yr Subscription 7/1/2020 to 06/30/2021,6/11/20,7/9/20,8/3/20,,"$3,246.97 ",8/13/20
University of North Colorado,6/11/20,NB061120B,,"$5,252.00 ",4700-00000,3 yr Subscription 7/1/2020 to 06/30/2023,6/11/20,,,,"$5,252.00 ",7/13/20
The University of Southern Mississippi,6/12/20,NB061220,,"$2,000.00 ",4700-00000,1 yr Subscription 6/15/2020 to 06/30/2021,6/12/20,,,,"$2,000.00 ",7/27/20
The Support Network,6/15/20,NB061520,,"$1,800.00 ",4700-00000,1 yr Subscription 7/31/2020 to 07/31/2021,6/15/20,8/3/20,,,"$1,800.00 ",8/19/20
Brigham Young University – Hawaii,6/16/20,NB061620,,"$3,000.00 ",4700-00000,1 yr Subscription 6/16/2020 to 06/30/2021,6/16/20,,,,"$3,000.00 ",7/2/20
Tacoma Public Schools,6/16/20,NB061620A,,"$5,500.00 ",4700-00000,3 yr Subscription 11/2/2020 to 11/30/2023,6/16/20,,,,"$5,500.00 ",7/3/20
Northern Arizona University,6/16/20,NB061620B,,$625.00 ,4700-00000,3 Mo Subscription 8/17/2020 to 11/17/2020,6/16/20,8/3/20,,9/9/20,$624.54 ,9/17/20
San Jose State University,6/16/20,NB061620C,,"$4,500.00 ",4700-00000,1 yr Subscription 5/31/2020 to 05/31/2021,6/16/20,,,,"$4,500.00 ",7/7/20
Husson University,6/16/20,NB061620D,,"$1,000.00 ",4700-00000,1 yr Subscription 7/1/2020 to 06/30/2021,6/16/20,,,,"$1,000.00 ",7/7/20
"University of California, Riverside",6/17/20,NB061720,,$500.00 ,4700-00000,1 yr Subscription 12/31/2019 to 12/31/2020,6/17/20,,,,$500.00 ,7/16/20
Vitero University,6/18/20,NB061820,,$160.00 ,4700-00000,3 Mo Subscription 6/18/2020 to 9/18/2020,6/18/20,,,,$160.00 ,7/7/20
California State Polytechnic University Pomona-Education/CEIS,6/22/20,NB062220,,"$1,029.00 ",4700-00000,1 yr Subscription 6/22/2020 to 6/30/2021,6/22/20,,,,$998.86 ,6/23/20
Rider University,6/22/20,NB062220A,,"$4,500.00 ",4700-00000,1 yr Subscription 7/1/2020 to 6/30/2021,6/22/20,8/3/20,,,"$4,500.00 ",8/19/20
"The University of Tennessee, Knoxville",6/23/20,NB062320,,"$3,500.00 ",4700-00000,1 yr Subscription 7/1/2020 to 6/30/2021,6/23/20,,,,"$3,500.00 ",7/23/20
Saint Xavier University,6/24/20,NB062420,,"$3,000.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,6/24/20,,,,"$3,000.00 ",7/27/20
Clemson University,6/25/20,NB062520,,$540.33 ,4700-00000,3 Mo Subscription 9/1/2020 to 12/1/2020,6/25/20,8/3/20,,,$524.36 ,8/11/20
University of St. Francis,6/25/20,NB062520A,,"$2,500.00 ",4700-00000,1 yr Subscription 8/15/2020 to 8/31/2021,6/25/20,8/3/20,,,"$2,500.00 ",8/19/20
Northeastern Illinois University,6/25/20,NB062520B,,"$6,500.00 ",4700-00000,1 yr Subscription 8/4/2020 to 7/31/2021,6/25/20,8/3/20,,9/28/20,"$6,500.00 ",10/2/20
George Mason University,6/26/20,NB062620,,"$2,500.00 ",4700-00000,3 Mo Subscription 7/1/2020 to 12/31/2020,6/26/20,8/3/20,,,"$2,500.00 ",8/11/20
Troy University,6/26/20,NB062620A,,"$2,058.80 ",4700-00000,1 yr Subscription 4/8/2020 to 3/31/2021,6/26/20,7/9/20,8/3/20,,"$1,998.79 ",8/24/20
Swarthmore College,6/29/20,NB062920,,"$1,600.00 ",4700-00000,1 yr Subscription 7/1/2020 to 6/30/2021,6/29/20,8/3/20,,,"$1,600.00 ",8/11/20
SUNY College of Oneonta,6/29/20,NB062920A,,"$2,500.00 ",4700-00000,6 Mo Subscription 7/1/2020 to 12/31/2020,6/29/20,,,,"$2,500.00 ",6/29/20
East Tennessee State University,6/30/20,NB063020,,"$4,500.00 ",4700-00000,1 yr Subscription 6/30/2020 to 6/30/2021,6/30/20,8/3/20,,9/9/20,"$4,500.00 ",9/11/20
Montclair State University,7/1/20,NB070120,,"$1,000.00 ",4700-00000,6 Mo Subscription 7/1/2020 to 12/31/2020,7/1/20,8/3/20,,,"$1,000.00 ",8/5/20
Syracuse University,7/2/20,NB070220,,"$2,750.00 ",4700-00000,6 Mo Subscription 7/1/2020 to 12/31/2020,7/2/20,,,,"$2,750.00 ",7/27/20
Belhaven University,7/8/20,NB070820,,"$2,650.00 ",4700-00000,1 yr Subscription 8/1/2020 to 7/31/2021,7/8/20,,,,"$2,650.00 ",7/13/20
City University of New York,7/8/20,NB070820A,,"$1,700.00 ",4700-00000,6 Mo Subscription 7/1/2020 to 12/31/2020,7/8/20,8/17/20,9/25/20,10/26/20,"$1,700.00 ",10/28/20
Morehead State University,7/8/20,NB070820B,,"$3,500.00 ",4700-00000,1 yr Subscription 7/7/2020 to 6/30/2021,7/8/20,,,,"$3,500.00 ",7/27/20
Lorain County Community College,7/8/20,NB070820C,,$525.00 ,4700-00000,3 Mo Subscription 8/24/2020 to 11/30/2020,7/8/20,8/7/20,,,$524.36 ,8/7/20
Mississippi State University Meridian,7/9/20,NB070920,,"$1,000.00 ",4700-00000,6 Mo Subscription 7/21/2020 to 12/31/2020,7/9/20,8/17/20,,,"$1,000.00 ",8/31/20
